"Love
of
Chocoloate","Asian
Knowledge","Stable
Cleanliness","Love
of
People",Attention,Ethics,Aggression,"Swimming
Style
Points",Felinity
4,7,6.75,5.33,5.33,6.33,6.67,7.5,5.5
4.33,8,7.5,5,4.67,5.67,6.33,7,6.25
5,9,6.5,5.33,6,7,6.33,8,6.25
5.67,6.5,6,6,5.67,6.33,5.33,5.5,5.25
5.4,4,5.5,4.67,6,6.33,5.67,6,5
5,6,6,4.67,6.33,5.67,5.67,5.5,5.5
5.17,5.5,5.25,5.33,5.67,6,4.33,5.5,4
4.83,3,5.75,5.67,5.33,5.33,5.67,5,5
9,7,7,7.67,7.33,7,7.33,7.5,6.25
8.67,9,8.5,7.33,7.33,7.67,7.67,6.5,6
8.67,6.5,3.75,8.33,8.33,5.67,7,4,3.75
9,8,8.75,9,9,8.67,8,6.5,6.25
8.17,4,1.25,9,7.33,4.67,7.33,1.5,1.25
6.5,6.5,5.5,6.67,5.33,6,6,5,5.75
8.83,8.5,8.75,9,8.67,8,8.33,6,8
8.17,6.5,4.75,6.67,5,5,5,3.5,4.25
8.67,7,7,7.33,7.33,7,7,7,6.25
9,6,6.25,7,8.67,8,7.33,5,5.75
7.33,8,7,6,7.33,6.67,7.33,5.5,5.75
8.83,9,8.75,8.67,8,8.67,8.67,8,8.25
7.83,7,7.5,8,7.33,7,7.33,6.5,5.75
7.83,7,7,7.33,7.67,6.67,6.67,7,7
8.5,7.5,6.75,8,5.33,7.33,8,6.5,5.33
7.33,6,6.5,7.67,7.33,6,6.33,5.5,5.75
7.67,7,6.5,8,7.33,8,7,3,4.5
9,8,7.75,6.67,9,8.33,8.67,6.5,8
8,8,7,7.67,7.67,7.33,6.67,7.5,6.75
6.33,5,4.25,7,3,3,3,2.5,1.5
9,8.5,8,8.67,8.67,8,8.33,6.5,6.75
8.83,3.5,8,8.67,8,7,7,6.5,5.75
7.83,7.5,8.25,4.67,8,6,7,7.5,7
7.67,7.5,8.25,6.33,7.67,7.67,7.67,6,8.75
8.83,7.5,8,7.67,8,7.33,9,5.5,6.5
5.67,8,6.5,5,3,6.33,3,5,2.75
4.67,1.5,6.5,7.67,5,1.67,4.33,2,2
6.5,6.5,6,4.33,7,5,4,5.5,5.5
4.17,4,4.75,3.33,4.33,4,2.33,2.5,3.75
3.17,8,7.75,4.33,5.33,6,3.33,8,6.75
7.83,7.5,8.25,5.67,6.33,6.67,5,8,7.25
7.17,6.5,6.25,7,7.33,6.33,6.33,7,8.25
7.5,7,6.5,5.67,6.33,5,5.33,6,6.5
5.17,7,4,5,6.67,3.67,3.67,6.5,6.5
6.67,3,6.25,3.33,7,5.67,6.67,5,2.5
7.5,7.5,7.25,3.33,7.33,7,8.67,8,7
7.5,8,8,2.67,5.33,6,8.33,5.5,7.25
7.67,7.5,6.75,5.67,6,8,6.67,8,6.25
8.67,8,6.75,6,8,4.67,7.33,6.5,7.5
8.83,8.5,6.5,7.33,7.67,7.33,8.67,5,4.25
7.83,4.5,7,5,7.67,5.67,7.33,7,6.5
9,5,9,3.67,7.67,6.33,9,9,8.75
7.83,5,8,4.33,4.67,6,6,7.5,6
8,6,6.75,5.67,8.33,4.33,8.67,5.5,5
8,9,7.75,2.33,8.33,6.33,9,7.5,6.25
7.67,5,5,4.33,8,6.33,4,8,7.5
5.5,5,6.75,6.33,6.67,6,5.67,6.5,5.75
8.83,8.5,6.5,6.67,8,8,7.67,7.5,6.25
6.5,7,7,2.67,6.67,8,7.33,5.5,4.75
7.17,6.5,5,3,6.67,8,6.33,1.5,5
7.67,7,7.25,5,6.67,6.33,7,6,6.5
7,7,7,8.33,7,9,8.33,7,3.25
8.5,8.5,8.25,7.33,7.33,7.67,8.33,6,8.5
6.33,7.5,7,5.33,6,6.33,6.33,7,6.5
4,9,7.75,3.33,3.67,6,4,8,5.5
6.5,1.5,4.75,5.33,2.33,5,2.33,8.5,2
7.5,8.5,7.5,4,4.67,7.67,6.33,7.5,7.75
7.83,8,6.75,7,4.33,8,6,5,7.25
8.83,7.5,7.75,7,7.33,8,7.67,5,5.5
8,7,7.5,6.67,6.33,8.67,7.67,6,5.75
4,4,6.75,7.33,4.67,6,4.67,7.5,4.75
6,5,7.25,4,4.67,5.67,5.67,7.5,5
7,5.5,8.5,6.67,6.33,7.33,6,7.5,6.25
7.33,6.5,6.75,6.33,5,5,4.67,8,6
8.33,7,6.5,7.33,8.33,5.67,8.33,6,6.5
6.83,9,8.75,7.67,6.67,7.67,6.33,8.5,4.25
8.67,8,6.25,6.33,8.33,6.67,8,5.5,6
7.67,8,6.25,6.33,7.67,3.67,6,6.5,6
6.67,8,7.25,7.33,7,7,7.33,7,6.5
8.83,8,8,7,8.67,8,8,7,6.25
7.5,8,5.25,7,8.67,6,6,6,6.25
8.33,8,8,8.33,8.33,8,8,7,6.25
7.17,4.5,6.25,5.67,7.67,4.67,4.33,6.5,4.25
8.33,8.5,8.5,7.67,8,8.33,8.67,7.5,7.5
7.67,8,3,8,8,5,6.33,1.5,2.75
6.17,6,6,8.33,7,4.67,5,7.5,4
6.33,5.5,7.75,5.33,5.67,8.67,2.33,9,3.25
8.5,9,7.5,7,7.67,7.67,7,7.5,7
7.5,7.5,6.75,5.67,6,5.33,4.67,2,4.5
7.33,8,8,6.33,6.67,7,7.33,7.5,8.25
8.67,8.5,8.25,7.33,8.33,7.33,7.33,9,8.25
8.67,9,8,6.67,7.33,8.33,6.67,8.5,6
5.83,7,7.25,6,7.33,5,5,6,5
4.83,9,6.5,5,5,6.67,5.33,6,6.75
2.67,2,4.5,5.67,5.67,1.67,2.33,5,3.25
8.67,7.5,8.25,7.67,7.67,7.67,8,5,7.25
9,9,8.75,7,9,8.67,8.67,8.5,8
8.67,8.5,7.25,7.67,8,7.33,8.33,6,8
7.5,8,6,6.67,6.33,6.33,6.33,6.5,5.75
5,7,7.25,4.33,5.67,5.67,5.67,8.5,8
8.67,6.5,7.75,8.67,8.67,8,8,7.5,6.75
7.33,5,6,7.33,6.67,6.33,6.67,6,4.75
8.33,9,8.75,8,7.67,7.33,8,8,7.5
6.83,3.5,3,7.33,5.67,5.67,7.67,4,1.5
8.17,7,7,7.33,7.33,7.33,6.67,5.5,5.25
8.33,7,7,7.33,7.33,7.67,7.33,6.5,6.5
8.33,8,9,7.33,7.33,8.67,8,8,7
6.67,6,5.25,6.67,4,6,5,6.5,4
6.17,4.5,5,7.33,6.33,5.67,3.67,2.5,1.5
8,9,6.5,8,7.67,7.33,6.67,7,7.25
6.67,6.5,7,5.67,5.33,7.33,6,5.5,5.5
6.67,8,6.75,7.67,6.33,5.67,6.67,5,5
7.83,6,3.75,8.33,4.33,7.67,6.67,3.5,5.75
6.5,9,5.25,6.33,7,6.67,5.67,5,5
7.17,7.5,6.25,6.67,7.33,7.67,6.67,5.5,6.75
6,7,5,6,6.33,6.33,5,6,4.5
7.67,8,7.75,8.33,8,8.67,7,8,7.25
6.33,8,5,5.67,5.67,6,5.33,5,6
8.17,8,6.75,8,7.33,8,7.67,7.5,7.5
6.83,4.5,4.75,8,6,7,6.33,4,3.75
6.83,6,6.5,7.67,7.33,6,5.67,6.5,5.5
6.33,6.5,4.5,5,7.33,6.33,5.67,5,4.5
4.5,2.5,4.75,6.33,4.33,4.67,3,1.5,2.25
8.17,8,6.25,8,8,7.67,6.67,5,5.5
7.33,6.5,6.75,8,6.67,7.33,6.67,7,7
6.5,5,5,6.33,6.33,7.67,5.67,6,5
5.17,6,5.75,7.33,4.67,6,4.67,4.5,5.5
NaN,7,NaN,6,4.67,NaN,NaN,4,4.25
7.5,7,6,7,4.33,6.67,4.67,6.5,4.75
6.17,9,4.75,7,6.33,6.67,6.33,7,7
3.83,7,4.5,6.33,5.33,4.67,2.33,4,3.75
3.67,8.5,6.5,8,4.33,8.33,4,6.5,3.75
6.33,6.5,3.5,6,5.33,4.67,7,2,4.75
7.5,9,6,6.67,6.67,7.67,8.33,7,6.25
8.33,8.5,6.25,5.33,5.67,6.33,8,7,6.75
7.33,9,6.5,7,6.33,7.33,7,6.5,5.67
6.67,2.5,1.75,8.67,6.33,8.33,8,1,2
8.33,7,7.25,5,8.67,6.67,7.33,3,6.5
8,7.5,8.5,6.67,7.67,7.67,8.67,7.5,8
6.17,6,6.25,3.67,4.67,2,4.33,2.5,2.5
9,9,8.75,7.67,9,8.67,8.67,6,6.75
5.83,5,4.75,8.67,5,5.33,4.67,3,2
7.67,9,8,8,8,6.33,7.67,6,5.5
7.17,8.5,6,7.67,7.67,8,7,8,7.5
9,9,9,8,9,9,9,8.5,7.75
6,8.5,5,4.67,5.33,4,5.33,4,3.25
6.83,8,7.25,6.33,5.33,6.67,6,6.5,6
8,7.5,6.5,8,8.33,6.67,7.33,5.5,6.75
7.83,5,6,6.67,7.33,7,6.67,4,5.5
5,3,2.5,7.33,5.33,6.33,6,2,1.5
7.33,9,6.75,7.67,7.67,7,6,3,5.75
6.17,8.5,7,6.33,6,5.67,6.67,3.5,3.75
6.5,5.5,7.25,6.67,6.67,7.33,6.33,5.5,4.5
7.67,8.5,7,7.67,7.67,7.33,8,4,5.5
4.67,3.5,7,6,5.67,5.33,4,4,5.75
6,3.5,6.75,6,6,6.67,5.33,5,5
8.83,6,7,6.67,8,6.33,7.33,5,4.25
6.4,6,6.5,7,5.67,5.33,5.33,6,3.5
7.17,7,7.75,7,7.33,7,7.33,6.5,6.75
2.33,2,4.5,4,2,3.33,3,6.5,6.25
8.5,5.5,5,7,8.33,4,5.33,2,5.25
8.17,7,8.75,8,7.33,8.67,8,5,5.5
7.67,7.5,8,5.67,7,7,7.67,8,4.25
7.33,7.5,7.75,4.5,5.67,3,6.33,6.5,4.5
6.67,8.5,7.5,6.67,6.67,6,7.33,7.5,7
8.5,8.5,8,6,7.67,6,8,6,6
6.83,9,7.5,5.33,8,6,6.33,6,6.75
6,8.5,7.75,7,6,6.67,5.33,8.5,7
8.5,6,7.5,8,6,5.67,6.67,5,5
6.83,7,6.75,5.33,6,5.33,4.67,5.5,5
7.17,8.5,6.25,7,7,6.67,6.67,6,5.5
6.83,8,8,6.67,7,7.33,7.67,6,7.5
7.5,7,5.25,7,4.67,5.67,1.67,5.5,4.25
8,8,8,7.33,7.67,7.33,7.67,8,8
7.67,9,7.5,6.67,6.33,7.67,8,8,8.25
7.5,6,7.5,7,6,6.33,6,7,4.25
6.83,8,7.25,6,6.67,5.33,5,5,4.75
7.33,8.5,8.25,4.67,4.67,3.67,4,8,5.25
8.5,4,9,6,6.67,6.5,8,9,7
8.67,8,8,8.67,5.67,8,7.67,9,5
8.17,8,8.5,6.33,7,7.67,7.67,7,6.75
8.83,6.5,7,8.33,7,8.33,8.33,7.5,6.75
8.83,7,7,8.33,7.67,6.67,7.67,7,5.75
8.33,6.5,6.75,5,7,6.67,7.67,6.5,4.5
8.83,7,7.75,8.33,7.33,8.67,8,6,3.5
7.83,7,6.25,7.33,6,6.67,6.33,7.5,4.5
8.33,5.5,6.75,8,7,9,6.67,7,4
8.67,7,7.5,9,8,7.33,7.33,6.5,5.25
8.83,8.5,8.5,7.67,7.67,8,7.67,8.5,7.25
7.33,4.5,6.75,9,5.67,7,7.33,8,3
7,5,7.25,7.33,6,7,7.33,7,6.25
8,2,5.75,8.67,8,7,4.67,4.5,5
8.67,7,7,8.33,7.67,8.33,8.67,6,5
8.67,6.5,7.5,7.67,7.33,7.67,7,7,5
6.83,7.5,7.5,7,6.67,6.67,7,8,6.75
7.83,6.5,7.5,7.33,7,8.33,7.33,7,4.25
6.5,7.5,8.25,7.67,6.67,8.33,7.33,8,6.75
8.5,6,7,8,7.33,6.67,5.33,7,5.25
8.17,8.5,5.5,7.33,7.33,6,7,4,5.25
8,8,8.5,6.33,6,8,6.67,8,6
7.17,7.5,8,7.33,5.33,8,5.67,7,4.75
7.67,7.5,7.5,8.67,5,9,4.67,7.5,2.5
7.67,7,7.5,7.67,5.33,7.67,3.67,7.5,4.75
8.67,9,8.75,7.67,7.67,8,7,9,7.5
9,9,8.5,8.33,8.67,8.67,7.67,7.5,7.5
8.5,5,6.75,7.33,7.67,7.67,5,6,5
8.83,6,7.75,8,6.33,7.67,7.33,5,4.5
8.33,9,6.75,7,6.33,7,7,6.5,5
8.67,8,7.5,8,7.33,7,5.67,4,4.25
8.5,8,7,8.67,6,8.33,5.67,5,6
9,7,8,6,7.33,8.33,6.33,7,5.75
9,4.5,7,7,7,6.33,5.67,4,2.5
8.33,7.5,6.5,8.33,6.33,7.33,6.33,5,5.5
8.83,6.5,7.5,9,7,8,5.33,4.5,4
6,5.5,5,6,5.67,5.33,5,5,4.5
8.67,7,7.5,4.67,7.33,7,6,4.5,2.5
8.83,8,7.75,7.33,8.33,6.67,7.67,5.5,7
7.33,6,7.5,7.33,5.67,6.33,3.67,8.5,5.5
8.5,1.5,6.75,8,6,6.67,5.33,5.5,4.5
8,7,7,8,8.33,7.33,8,6.5,5.5
4.5,5,6,6,5,5.33,5.67,6,6.5
6.83,7.5,3.25,6.67,6.33,7.33,7.67,3.5,2.25
8,7,6.75,7,7,5.67,5.67,6,2.5
7.33,7.5,5.75,8.33,8,8,8.33,4.5,3.75
7.67,7,7.25,7,6.67,7,7.67,7,7.5
7.17,6,7,7,6,7.33,7,7.5,5
8,7.5,8.25,6,5.67,6,8.33,6.5,7.75
7.5,7.5,7.5,7.67,7.67,8,8,8,7
4.17,5,7.5,4.67,5.33,3,5,6,3.75
7,7.5,6.25,7,7.33,5.67,6.67,5.5,6.25
6.33,5,7.25,7.33,6,6,7.67,6.5,6.25
8,7,6.75,7.67,7.67,7,7.33,6.5,7
6.83,8,6.75,6.33,7.67,6.33,7.33,7,8.25
8,6,6.75,8.67,7.33,4,8.33,5,7.5
7.17,9,7.25,7.33,6.67,7.33,8,5.5,4.25
8.17,7.5,7.5,8.67,8,8,8,7.5,6.5
2.83,1.5,6.25,7.33,3,6,5.67,8.5,7.75
7.33,8,7,5.67,7.33,7,8,6,6.25
7,3,7.25,6.67,7.33,7,9,3.5,5.25
6,6,6.5,6.33,5.33,5,6,6,4.75
7.33,6.5,7,7,6.67,7.33,7,6,5.25
8.33,8,6,8,9,5.33,8,5.5,6.5
7.83,8.5,6.5,8,7.67,6.33,8,6,4.75
8.83,9,7,6,8.67,7.67,7.67,6,7.25
7.67,6,5.25,6.67,8.67,4.33,7.67,1,5.25
8.83,9,6,6.33,8,3,6.67,2.5,5
8.83,9,7.25,7.67,8.5,6,6,4,5.5
5.5,8.5,6.5,6.33,5,5,6,2.5,3
8,9,7.5,8.33,7.67,8,7.67,8,6.75
9,9,8.75,7,6.67,7.33,6,9,8.5
7.83,7.5,7.5,6.33,6.33,8,6.33,8.5,8.25
6.17,7.5,6,5.67,5.67,7,7.33,5,7
5.67,4.5,6,2.67,3.67,4,7,5,6.75
6.33,9,7.75,5.33,8.33,7,8,6.5,7.75
6,6,5,4.67,5,4.33,7.33,7,6.5
7.33,7,6.75,6.67,8,5.67,6.33,4.5,7.5
8.17,8,6.25,8,8,7.33,8.67,1.5,7.25
7.17,6.5,7,5.33,6,6.67,6.67,7,7
8.33,7.5,5.75,8.33,7,8,6.67,5,6.5
7.83,5.5,4.5,7,6.67,5.33,5.67,2.5,4
6.83,6.5,5.25,7.33,7.33,5.33,5.33,6,7.25
8,7.5,5.5,7.67,7.33,5.33,7.33,3.5,7.5
7,7,4,5,4.67,3.33,6,4,2.75
8.5,8,8.25,7.67,8,8.33,8.67,6.5,7
6.83,7.5,6.25,5.33,6.67,6.67,7,5.5,7.25
9,9,9,9,9,9,8.67,9,9
6.33,5,7.75,6.33,4.67,7.67,5,8,4.75
7.17,7.5,7,7.67,4,6.33,6.67,7,3.25
8,8,8.25,4.33,5.33,8,5.67,8,4
8.83,9,8,8.67,8.67,8,9,8,8
7.5,8,8.75,7.67,7.67,8,7.5,7.5,7.75
8.17,7,8.5,7,7,8.33,7.67,8,6.5
7.33,6.5,7.5,6.5,7.33,8,6,6.5,5.75
6.2,6,7.5,5,5,6,7.67,8,4.25
8.33,7,8,6.33,7.33,8.67,7.33,8,7.75
7.5,7,7,8.33,6.33,9,6.67,3.5,4
7.67,6.5,6.25,6.67,4.67,7,5.67,5.5,4.75
6,4.5,6.75,7,6.33,7.33,8.33,6,4.5
8.67,8,8.75,7,8,8.67,8,8.5,7
7.83,6.5,8.5,4.67,8,7.67,7.33,8,6.25
7.83,7.5,9,9,8.67,8.33,8,9,7
8.5,9,8.5,7.33,8.33,7.33,7.33,7.5,7
7,6,5.5,6.67,7.33,5,5.67,5,4.5
8,6,6.25,7.67,7.67,5.67,7,6,5.5
8.83,7.5,6.25,7.67,8.33,6.33,7.33,3.5,5
5,8,7,5,5,5.67,5.33,6,4.5
7.2,8,7.25,7,5.67,7,6.67,8,6.25
8.5,7,8,6.67,7,8,7.67,6.5,4
7.33,8,8.25,6,7.67,7.33,7.33,7,6.5
7.33,6,4.75,6,6,6.67,5,2,3.5
8.17,8,7.75,8.33,8,8,7.67,8,7
8.5,8,7.5,4,5.33,7,8,8.5,4
7.67,9,7.75,8,7.67,7.67,7.33,7,6
7.83,8,7.5,6.33,7.33,6.67,8.33,5.5,6.5
6.67,6,6.75,5.67,6,5.67,7.67,7.5,6
8.5,8.5,8.25,8,7,8.33,7.67,6.5,7
8.5,9,8.5,8,4.67,8.67,5.67,7.5,4.5
6.83,7,6.75,6.33,5.33,7.67,5,7,7
4.17,5,3,7,3.67,3,5.33,5.5,4
3.83,3,3,7.67,6.33,6.67,8,5,3.75
6.67,8.5,5.75,8,6.67,5,6.67,3.5,2.5
6.33,6,5,8.33,6.33,6,6,5,4
6,7.5,5.25,8,3.5,6.33,6,4,1.5
5.33,5,6.25,7.33,4,7.33,5,5.5,4.5
2.83,1.5,2.75,5.67,5.33,4.33,4.67,4,3.25
1.67,1.5,2,8,1.33,3.33,2.33,4,2.25
5.83,7,5.25,6.33,5,5,4.67,6,4.75
5,4.5,1.75,7.33,5.33,2,3.33,1.5,1.75
3.5,3,5.5,7,3.67,3,3,4,2
5.17,4,4.5,7.67,7.67,6.33,5.33,3.5,3.25
5,1.5,3.25,5,5,2.67,5.67,3,3.5
9,8.5,8.5,7,7.67,8,7.33,8,5
8.33,9,7.75,5,6.67,8,8,6,3.75
3.17,5,6.75,6.33,4.33,6,4,5,3.5
7.83,7,6,6,6.33,7,6,6.5,6
6,6,6.25,5.67,6,5.67,5.33,3.5,3.75
7.5,8,6.25,5.33,7,7.67,5.67,6.5,5
6.5,6.5,8,5.67,7.33,6.67,6.33,5.5,6.5
7.17,9,6,5.67,6,7,5.67,6,5
3.83,6.5,7,7,5,7.67,5.67,7.5,8.25
3.83,7.5,8,7.33,6.33,8,4.67,5.5,5.25
7.33,8.5,7.5,7,7,8,8,7,7.25
6.67,7.5,6,6.33,5.67,6.67,6,4,2
8.67,8.5,8,6,6.67,7.33,7.33,7,6.25
7.33,7.5,6.25,6,5.67,5.67,6,6.5,5.5
6.83,8.5,5.5,5.67,6,7.33,4.33,3.5,5.75
5.67,9,6.75,3.33,7.33,7.33,7.33,5.5,5.75
8,8,6.75,7.67,6.67,7.67,7.67,6,4
5.83,4,4.75,8,5,4.67,6,4,4.25
6,4,3,9,5.67,5,3.33,3,2.75
5,7,6,5.33,5.67,4.33,4.67,5.5,6.75
5,6,4.25,3,4.67,4.33,3.33,3,3.75
6.67,7,6.75,7,6,5.33,7,6,7.25
5.83,6,5,6,5.33,3.33,5.33,5,3
4.33,7,6.5,7.33,5.33,4,3,7,3.75
6.83,8,7.5,7.67,6.67,5.33,7.33,7,5.5
4.83,7,7,7.33,5.67,4,7.33,7.5,5.5
7.5,7.5,5,6.67,7.33,7.33,5.33,7.5,5.5
6.5,5,6.75,6.67,6,6.67,4.33,6.5,7.25
8.83,7.5,5.5,7.33,7,4.33,7.67,6.5,6.5
7.5,8.5,6.5,5.67,5.67,7.67,4.67,8.5,7.5
8.17,8,7,6.33,6,6.67,6.67,8,7.5
7.5,6.5,5.75,7,8,5,4.67,7.5,6.75
1,1,1,1,1,1,1,1,1
7,8.5,7.25,6.33,7.33,7,8,6,7
6.67,7,7,6.33,6,7,6.33,5,7.75
5.33,6,6,4,6,4,5.67,8.5,6.5
8.33,5,8.5,8.33,8.67,8.33,8.67,6.5,7
8.17,6.5,7.75,6.67,6.67,7.33,8,7,6.5
7.67,7,8.5,8,7.67,6,7.67,8.5,7.25
6.6,6.5,7,7,6.67,6.67,7.33,7,7
7.83,9,6,3,7.33,8.67,7.33,8,8.5
8.83,9,8.75,8.67,8.33,8,9,8,8
7.83,9,8,7.33,8,8.33,7.33,8,7.5
7.5,6,6.25,6.33,6,2.67,4.33,2.5,5.25
8.83,9,8.75,8.67,7.33,8,8.33,8.5,8
7,7,6.25,7.33,7,6,6.67,6.5,6.25
3.5,5.5,8.25,7.33,5.67,6.33,6.67,6.5,7
6.67,8,6,7.67,6.33,5.33,5.67,7,7.5
4,4.5,6.25,6.33,3,7.67,5,8.5,7.25
7.17,6.5,5.75,7.33,7.67,7,7.67,6,6.25
7.33,8,6.75,7,8,7.33,8.33,4,6.5
3.33,4.5,5,4.33,5,7,6.33,8.5,8.25
4,4,6.25,4.67,4,4.33,3.67,3,6
3.33,6.5,5.75,3.67,4.33,4,5.67,5,5.5
1.33,7.5,3,1.67,3,2.67,1.67,5.5,4.5
1,1,3,2.33,3,2.33,2.33,5,4.5
7,7,7.5,7,7.67,7.67,7.33,7,7.25
2,1,3.75,4.33,2,3.33,3,7,6.75
6,7.5,5.5,4.67,5.67,6.67,4.67,6.5,6.75
5.83,6,5.75,6.67,5,5.67,5.67,6.5,6
7,8.5,7.5,6,6,5,4.67,6.5,4
7.67,7.5,8,3.67,6.33,8,7.33,7.5,7.75
5.83,4.5,7.5,6.33,6,7.67,7,5.5,5.75
5.67,8,9,6.33,4.33,5,4.67,8.5,8
9,6,8.25,6,9,7.67,8.67,7,4.75
8.33,7.5,6.25,7,7.33,3.67,7.67,5,3.75
7.67,7,6.75,5.33,6.67,7.67,7.67,7,6
8.67,9,7.75,6.67,8.33,5.67,8.33,5,5.75
6.83,5,8,7,6,6.67,5.33,6.5,5.75
8.5,5,8.25,6.33,7.67,7,8,6.5,5.75
8.5,6,6.25,4,6.67,5,8.67,5,5
8.5,8,7,5,8,4.67,7.67,7.5,8
8.33,6,8.5,7,7,7.33,7,8.5,7.75
7,5,7.75,7.33,6,6.67,7,8.5,8.25
8.33,7.5,8.25,7.33,7.33,8.33,8.67,7,9
5.17,5,6.5,4,3.33,6.33,5.33,6.5,5.33
7,7,8,7,7,6.33,7,6.5,7.25
5,3.5,3.75,1.33,4,1.67,3.33,3.5,4.5
8,5,7.75,7.67,5.67,5,5.67,7,7.75
4.67,4.5,8,6.33,2.67,5,3.67,8.5,7.25
5.6,7,8,5.67,4,7.67,5.67,8.5,7.75
1.5,1,5.75,4,1,5.33,1.67,8,3.75
6,5.5,8,5.33,5.67,6.33,6,8.5,7.75
7.33,6.5,8,5,6.67,5.33,4.67,8.5,7.75
8.5,7.5,8.25,8.33,7,8,7.67,7.5,8.25
8.17,4,9,6,7.67,7,7,8.5,8
6,6,6.25,5,5,6.33,6.33,6.5,5.75
8,7,8.25,7.67,8,7.33,8,8,6.75
8.83,5,8,8,7.67,7.33,7,7.5,7.5
8.33,8,8.5,7,7.33,8.33,7,8,6.25
7.83,8,7.75,6.67,8,7.33,7.33,8,8.25
8.33,3.5,9,6.67,8,7,7.5,6,7.75
3.67,3.5,5,5,3,8.67,5,1.5,3.75
8,8.5,8,7.33,7.33,8,8,5,6.25
7.67,9,6.5,8,6.67,5.67,5.33,5.5,5.25
6.33,5.5,6.75,6.33,6,6,7.33,3.5,5.25
7.83,5,7.75,2.67,4.67,8,7.33,8,3.5
8.5,9,8,6.67,8,7.67,7,8,8.33
8.5,7.5,7.25,8,7.33,8,7.33,7,5.25
8.83,8,7.5,6.67,6.67,6.67,7,9,5.5
7.83,7.5,7.75,8,8,8,7.33,5.5,7.75
4.83,6,3.5,7.33,4,3,2.33,3,2.75
7.2,4,4.75,3.67,6.67,7.67,6.33,7.5,4
7.83,8.5,6.75,4,4.67,7,3.67,4,5
7.17,7.5,4.25,5.67,6.67,4.33,6.33,5,6.25
6.83,6.5,7,8,6.67,6.67,7,7,5.25
8.67,7,6.75,8.67,8,6.33,8.33,5.5,6.25
4,5.5,5.75,5.67,5,6.33,6.67,7,6
4,4,5.75,3.33,5.67,5.33,3.67,8,4.75
8,6,7,5.67,7,7.67,7.33,6,6.25
